duration_months,event_observed,is_15yr,orig_year,high_ltv,rate_spread,PropertyState_West Coast,PropertyState_South,PropertyState_Others,PropertyState_Northeast,PropertyType_SF,PropertyType_PU,PropertyType_MH,PropertyType_LH,PropertyType_CP,Occupancy_S,Occupancy_O,LoanPurpose_P,LoanPurpose_N,Channel_T,Channel_R,Channel_C,NumBorrowers,OrigLoanTerm,PPM,OrigInterestRate,LTV,OrigUPB,DTI,OCLTV,Units,MIP,FirstTimeHomebuyer,CreditScore
28,0,0,1999,0,-0.125,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.75,80.0,204000,20.0,80,1,0,0,670.5336708312466
91,1,0,1999,1,-0.125,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,1,6.75,95.0,117000,40.0,95,1,30,0,670.5336708312466
54,0,0,1999,0,-0.25,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.625,80.0,222000,35.0,80,1,0,0,670.5336708312466
50,1,0,1999,1,-0.25,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.625,90.0,189000,29.0,90,1,25,0,670.5336708312466
24,0,0,1999,1,0.75,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,360.0,0,7.625,85.0,57000,46.0,85,1,0,0,670.5336708312466
22,0,0,1999,0,0.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,6.875,80.0,202000,24.0,80,1,0,0,670.5336708312466
28,0,0,1999,1,0.375,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,7.25,95.0,137000,21.0,95,1,30,0,670.5336708312466
211,0,0,1999,1,0.625,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.5,95.0,56000,18.0,95,1,30,0,670.5336708312466
212,1,0,1999,0,-0.25,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,360.0,1,6.625,80.0,140000,29.0,80,1,0,0,670.5336708312466
199,1,0,1999,0,0.25,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,7.125,75.0,18000,39.0,75,1,0,0,670.5336708312466
39,1,0,1999,1,1.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,7.875,95.0,109000,35.0,95,1,30,0,670.5336708312466
55,0,0,1999,1,0.125,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,360.0,0,7.0,95.0,76000,33.0,95,1,30,0,670.5336708312466
56,0,0,1999,1,-0.125,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,6.75,95.0,77000,25.0,95,1,30,0,670.5336708312466
23,0,0,1999,1,0.375,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.25,95.0,109000,38.0,95,1,30,0,670.5336708312466
30,0,0,1999,0,-0.375,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,360.0,0,6.5,70.0,100000,16.0,70,1,0,0,670.5336708312466
35,0,0,1999,0,-0.125,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,360.0,0,6.75,72.0,151000,24.0,72,1,0,0,670.5336708312466
125,0,0,1999,1,0.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.875,95.0,118000,23.0,95,1,30,0,670.5336708312466
41,0,0,1999,1,-0.125,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,360.0,0,6.75,95.0,182000,48.0,95,1,30,0,670.5336708312466
211,0,0,1999,0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,360.0,0,6.875,76.0,98000,30.0,76,1,0,0,670.5336708312466
76,0,0,1999,0,-0.625,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.25,80.0,89000,31.0,80,1,0,0,670.5336708312466
54,0,0,1999,0,-0.375,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.5,80.0,172000,30.0,80,1,0,0,670.5336708312466
49,0,0,1999,1,0.25,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,7.125,90.0,82000,15.0,90,1,25,0,670.5336708312466
47,0,0,1999,0,-0.375,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,360.0,0,6.5,62.0,240000,22.0,62,1,0,0,670.5336708312466
44,0,0,1999,1,0.25,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,7.125,95.0,102000,20.0,95,1,30,0,670.5336708312466
18,0,0,1999,1,-0.25,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,6.625,95.0,173000,18.0,95,1,30,0,670.5336708312466
66,0,0,1999,0,-0.125,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.75,44.0,200000,17.0,44,1,0,0,670.5336708312466
212,1,0,1999,1,-0.25,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.625,95.0,77000,31.0,95,1,30,0,670.5336708312466
19,0,0,1999,0,0.625,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,360.0,0,7.5,32.0,51000,56.0,32,1,0,0,670.5336708312466
44,0,0,1999,0,0.25,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,360.0,0,7.125,64.0,169000,19.0,64,1,0,0,670.5336708312466
43,1,0,1999,0,0.25,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,360.0,0,7.125,78.0,101000,38.0,78,1,0,0,670.5336708312466
211,1,0,1999,0,-0.25,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,360.0,0,6.625,80.0,152000,32.0,80,1,0,0,670.5336708312466
60,1,0,1999,1,0.625,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.5,91.0,50000,28.0,91,1,30,0,670.5336708312466
54,0,0,1999,1,-0.125,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,6.75,95.0,141000,12.0,95,1,30,0,670.5336708312466
83,0,0,1999,0,-0.375,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.5,73.0,47000,39.0,73,1,0,0,670.5336708312466
95,1,0,1999,0,-0.125,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.75,53.0,90000,24.0,53,1,0,0,670.5336708312466
29,0,0,1999,0,1.25,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,360.0,0,8.125,70.0,126000,6.0,70,1,0,0,670.5336708312466
45,1,0,1999,1,0.875,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.75,95.0,128000,24.0,95,1,30,0,670.5336708312466
13,1,0,1999,1,0.75,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.625,95.0,133000,31.0,95,1,30,0,670.5336708312466
29,1,0,1999,1,0.0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.875,95.0,135000,31.0,95,1,30,0,670.5336708312466
44,0,0,1999,0,0.27500000000000036,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,360.0,0,7.15,69.0,111000,37.0,69,1,0,0,670.5336708312466
6,0,0,1999,0,0.0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.875,75.0,115000,14.0,75,1,0,0,670.5336708312466
48,0,0,1999,1,-0.125,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.75,90.0,115000,36.0,90,1,25,0,670.5336708312466
50,0,0,1999,1,0.375,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,7.25,90.0,56000,43.0,90,1,25,0,670.5336708312466
62,0,0,1999,1,0.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,360.0,0,6.875,90.0,144000,22.0,90,1,25,0,670.5336708312466
48,0,0,1999,0,0.5,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,7.375,80.0,146000,31.0,80,1,0,0,670.5336708312466
60,1,0,1999,1,0.375,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,7.25,90.0,212000,42.0,90,1,25,0,670.5336708312466
14,0,0,1999,0,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,2,360.0,0,6.875,72.0,176000,34.0,72,1,0,0,670.5336708312466
44,0,0,1999,0,-0.125,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,6.75,76.0,200000,31.0,76,1,0,0,670.5336708312466
14,0,0,1999,0,0.0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,360.0,0,6.875,79.0,214000,31.0,79,1,0,0,670.5336708312466
54,1,0,1999,0,-0.375,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,360.0,0,6.5,80.0,190000,33.0,80,1,0,0,670.5336708312466
67,1,0,1999,0,-0.625,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,6.25,60.0,111000,35.0,60,1,0,0,670.5336708312466
37,1,0,1999,1,-0.125,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,6.75,90.0,212000,38.0,90,2,25,0,670.5336708312466
52,0,0,1999,0,-0.5,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,360.0,0,6.375,70.0,227000,39.0,70,1,0,0,670.5336708312466
15,0,0,1999,0,0.375,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,2,360.0,0,7.25,32.0,99000,21.0,32,1,0,0,670.5336708312466
53,0,0,1999,0,0.875,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.75,75.0,83000,11.0,75,1,0,0,670.5336708312466
211,0,0,1999,1,-0.125,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.75,95.0,49000,34.0,95,1,30,0,670.5336708312466
111,0,0,1999,0,0.375,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,360.0,0,7.25,54.0,29000,19.0,54,1,0,0,670.5336708312466
52,0,0,1999,0,-0.125,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2,360.0,0,6.75,74.0,124000,25.0,74,1,0,0,670.5336708312466
51,1,0,1999,1,-0.25,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.625,95.0,132000,27.0,95,1,30,0,670.5336708312466
46,0,0,1999,1,-0.25,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,6.625,95.0,122000,39.0,95,1,30,0,670.5336708312466
